"","Year","state","total_sum"
"904","2014","Massachusetts",179344
"905","2014","Michigan",424091
"906","2014","Minnesota",481122
"907","2014","Mississippi",214829
"908","2014","Missouri",517063
"909","2014","Montana",121836
"910","2014","Nebraska",68568
"911","2014","Nevada",116735
"912","2014","New Hampshire",124677
"913","2014","New Jersey",92320
"914","2014","New Mexico",139780
"915","2014","New York",365427
"916","2014","North Carolina",1182349
"917","2014","North Dakota",70548
"918","2014","Ohio",596389
"919","2014","Oklahoma",348495
"920","2014","Oregon",243044
"921","2014","Pennsylvania",899241
"922","2014","Puerto Rico",16118
"923","2014","Rhode Island",20400
"924","2014","South Carolina",289764
"925","2014","South Dakota",83659
"926","2014","Tennessee",533394
"927","2014","Texas",1465992
"928","2014","Utah",263812
"929","2014","Vermont",31502
"930","2014","Virgin Islands",1271
"931","2014","Virginia",419764
"932","2014","Washington",482115
"933","2014","West Virginia",221847
"934","2014","Wisconsin",334308
"935","2014","Wyoming",63063
"936","2015","Alabama",737509
"937","2015","Alaska",85621
"938","2015","Arizona",331442
"939","2015","Arkansas",257346
"940","2015","California",1761079
"941","2015","Colorado",454062
"942","2015","Connecticut",307750
"943","2015","Delaware",50416
"944","2015","District of Columbia",742
"945","2015","Florida",1147082
"946","2015","Georgia",566946
"947","2015","Guam",2066
"948","2015","Hawaii",15290
"949","2015","Idaho",136946
"950","2015","Illinois",1247398
"951","2015","Indiana",1076917
"952","2015","Iowa",147309
"953","2015","Kansas",185859
"954","2015","Kentucky",3218371
"955","2015","Louisiana",372613
"956","2015","Maine",94744
"957","2015","Mariana Islands",18
"958","2015","Maryland",125694
"959","2015","Massachusetts",167285
"960","2015","Michigan",500921
"961","2015","Minnesota",519244
